Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Lot Number,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sales Price,Opening Stock,Barcode,OEM Part Number,Duplicate Part Number
Oil separator E30 to E45,Filters,,,,,,,20/09/2021,38.684,VAT 5%,5,,135.394,,,10451050,
Oil separator EG75,Filters,,,,,,,20/09/2021,92.105,VAT 5%,5,,322.3675,,,B006700770027,
Element separator E55,Filters,,,,,,,20/09/2021,44.211,VAT 5%,5,,154.7385,,,10452250,
Oil separator EG15 TO EG22,Filters,E5.1522.2,,Pieces,1,ELGI,,20/09/2021,35.368,VAT 5%,5,,123.788,,,B0067007700010,LB 13 145/3
Belt High pressure,Belt,,,Pieces,1,TPB,,20/09/2021,0,VAT 5%,5,,0,,,,2319
Belt TS 15,Belt,,,Pieces,4,TPB,,20/09/2021,0,VAT 5%,5,,0,,,905433,C 2088LP/C 80
V-Belt B76 TS 07,Belt,,,Pieces,,Oman,,20/09/2021,0,VAT 5%,5,,0,,,905275,
V-Belt B78 TS 10,Belt,,,Pieces,,Oman,,20/09/2021,0,VAT 5%,5,,0,,,905277,
Belt,Belt,,,Pieces,4,TPB,,20/09/2021,0,VAT 5%,5,,0,,,,XPZ 1112
Auto drain Float,Valve kits,,,Pieces,9,IE,,20/09/2021,0,VAT 5%,5,,0,,,10442250,
Pressure switch ALFA,Pressure switch,,,Pieces,1,Alfa,,20/09/2021,0,VAT 5%,5,,0,,,,
Pressure gauge,Pressure switch,,,,,,,20/09/2021,3.132,VAT 5%,5,,10.962,,,B212343,
Pressure switch ,Pressure switch,,,Pieces,1,Danfoss,,20/09/2021,0,VAT 5%,5,,0,,,B00180051002,
Pressure switch ,Pressure switch,,,Pieces,4,Indfos,,20/09/2021,7,VAT 5%,5,,24.5,,,B182011,1276
Intake valve kit E11 to E22,Valve kits,,,Pieces,9,India,,20/09/2021,0,VAT 5%,5,,0,,,01033120 9,
