Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Lot Number,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sales Price,Opening Stock,Barcode,OEM Part Number,Duplicate Part Number
Intake valve seal kit,,,,Pieces,,Oman,,20/09/2021,0.000,VAT 5%,5,,0.000,,,972300090.A,
BDV Seal kit,,,,Pieces,,Oman,,20/09/2021,0.000,VAT 5%,5,,0.000,,,972300030.A,
Butterfly valve 4'' dd,,,,,,,,20/09/2021,21.000,VAT 5%,5,,28.350,,,220210470,
Autuator assembly dd,,,,,,,,20/09/2021,35.368,VAT 5%,5,,47.747,,,A0030006,
Regulator assembly,Valve kits,,,,,,,20/09/2021,23.579,VAT 5%,5,,31.832,,,220317590,
Actuator assembly,Valve kits,,,Pieces,1,ELGI,,20/09/2021,0.000,VAT 5%,5,,0.000,,,972300070,
"Valve assembly,breather",,,,Pieces,,Tulasi,,20/09/2021,0.000,VAT 5%,5,,0.000,,,A 020030,
Valve breather,Valve kits,,,Pieces,16,Tulasi,,20/09/2021,0.000,VAT 5%,5,,0.000,,,00051006 0,
Reverse Rotation switch,Safety valves,,,Pieces,4,Tulasi,,20/09/2021,4.421,VAT 5%,5,,5.968,,,8941151,
Temperature sensar,sensars,,,Pieces,2,Tulasi,,20/09/2021,34.632,VAT 5%,5,,46.753,,,B000505600008,
Pressure sensar,sensars,,,Pieces,3,Tulasi,,20/09/2021,38.684,VAT 5%,5,,52.224,,,B000505600007,
Air filter,Filters,,,Pieces,51,Tulasi,,20/09/2021,1.326,VAT 5%,5,,1.791,,,00031782 0,Reci
Disc valve assembly dia 100,Valve kits,,,Pieces,4,Tulasi,,20/09/2021,23.579,VAT 5%,5,,31.832,,,A 020569,
Oil,Oil,,,Pieces,0,Oman,,20/09/2021,0.000,VAT 5%,5,,0.000,,,,
Valve finger dia 100,Valve kits,,,Pieces,0,Tulasi,,20/09/2021,0.368,VAT 5%,5,,0.497,,,00033097 0,
Valve finger dia 70,,,,Pieces,0,Tulasi,,20/09/2021,0.368,VAT 5%,5,,0.497,,,00033096 0,
"Safety valve 1/2""",Safety valves,,,Pieces,8,Tulasi,,20/09/2021,4.605,VAT 5%,5,,6.217,,,A020244,
"Safety valve 3/4""",Safety valves,,,Pieces,8,Tulasi,,20/09/2021,5.895,VAT 5%,5,,7.958,,,A020245,
"Safety valve 3/8""",Safety valves,,,,,,,20/09/2021,2.358,VAT 5%,,,,,,A02045,
"Safety valve 1""",Safety valves,,,Pieces,0,Tulasi,,20/09/2021,0.000,VAT 5%,5,,0.000,0,,A010107,
"Safety valve 1/4""",Safety valves,,,Pieces,0,Tulasi,,20/09/2021,2.211,VAT 5%,5,,2.984,2.984210526,,A020241,
Air filter,Filters,,,Pieces,1,ELGI,,20/09/2021,0.000,VAT 5%,5,,0.000,0,,10430150,
Air filter,Filters,,,Pieces,1,MANN,,20/09/2021,0.000,VAT 5%,5,,0.000,0,,,C 25740
Oil filter cartridge,Filters,,,Pieces,7,ELGI,,20/09/2021,3.684,VAT 5%,5,,4.974,4.973684211,,220220330,
Solinoid valve 24v AC,Valve kits,,,Pieces,4,Rutex,,20/09/2021,0.000,VAT 5%,5,,0.000,0,,B007300990017,
Solinoid valve 24v DC,Valve kits,,,Pieces,1,Rutex,,20/09/2021,0.000,VAT 5%,5,,0.000,0,,,
Piston dia 100,Pistons,,,Pieces,5,Tulasi,,20/09/2021,7.368,VAT 5%,5,,9.947,9.947368421,,020494560,
Piston dia 70,Pistons,,,Pieces,2,Tulasi,,20/09/2021,4.789,VAT 5%,5,,6.466,6.465789474,,477750,
Piston rings 100mm,Pistons Rings,,,Pieces,4,Tulasi,,20/09/2021,2.505,VAT 5%,5,,3.382,3.382105263,,22434139,
Piston rings 70mm,Pistons Rings,,,Pieces,2,Tulasi,,20/09/2021,1.916,VAT 5%,5,,2.586,2.586315789,,22401049,
"Oil seal TS 10 , TS 15",Oil seal,,,Pieces,6,Tulasi,,20/09/2021,0.000,VAT 5%,5,,0.000,0,,,
Cool and filter,Filters,,,Pieces,1,IR,,20/09/2021,0.000,VAT 5%,5,,0.000,0,,23424922,
Temperature switch ,Pressure switch,,,Pieces,1,Tulasi,,20/09/2021,21.737,VAT 5%,5,,29.345,29.34473684,,B171901,
Pressure switch,Pressure switch,,,Pieces,1,ELGI,,20/09/2021,15.474,VAT 5%,5,,20.889,20.88947368,,A020018,
"PRE Filter 1 1/2""",Filters,,,Pieces,1,,,20/09/2021,0.000,VAT 5%,5,,0.000,0,,,
"Fine Filter 1 1/2""",Filters,,,Pieces,3,,,20/09/2021,0.000,VAT 5%,5,,0.000,0,,,
"After Filter 1 1/2""",Filters,,,Pieces,1,,,20/09/2021,0.000,VAT 5%,5,,0.000,0,,,
"N.R.V 1"" Assembly",Safety valves,,,Pieces,2,ELGI,,20/09/2021,14.368,VAT 5%,5,,19.397,19.39736842,,A020559,
Air filter,Filters,,,Pieces,1,Ecoguard,,20/09/2021,0.000,VAT 5%,5,,0.000,0,,,A44462
Vacuum indicator,Vacuum indicator,,,Pieces,2,,,20/09/2021,0.000,VAT 5%,5,,0.000,0,,,
Coolant 4 liter,Oil,,,Pieces,2,,,20/09/2021,0.000,VAT 5%,5,,0.000,0,,,
Temperature switch ,Pressure switch,,,Pieces,1,,,20/09/2021,0.000,VAT 5%,5,,0.000,0,,,
