Item Name,Category Name,Duplicate part no,OEM part no,Item code,HSN,Unit Name,Alert Quantity,Brand Name,Lot Number,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sales Price,Opening Stock,Barcode
AIR FILTER ELEMENT E37 TO E45,Filters,C 16 400,10431120,E3.3745.0,,Pieces,9,Mann,,20/09/2021,15,VAT 5%,5,Inclusive,25,,
AIRFILTER ELEMENT E18 TO E22,Filters,C 14 200,B005700770005,E3.1822.0,,Pieces,11,Mann,,20/09/2021,10,VAT 5%,5,,20,,
AIRFILTER ELEMENT E18 TO E22,Filters,C 14 200,B005700770005,E3.1822.0,,Pieces,1,ELGI,,20/09/2021,10,VAT 5%,5,,20,,
AIR FILTER ELEMENT EN11,Filters,,B005705760002,E3.1911.1,,Pieces,1,ELGI,,20/09/2021,5,VAT 5%,5,,10,,
AIR FILTER ELEMENT EN5,Filters,,B005705760001,E3.1905.1,,Pieces,1,ELGI,,20/09/2021,4,VAT 5%,5,,8,,
AIRFILTER ELEMENT E11TO15,Filters,C 11 100,B005700770004,E3.1115.0,,Pieces,1,Mann,,20/09/2021,6,VAT 5%,5,,12,,
OIL FILTER ELEMENT E11-E90,Filters,W 962,B004800770001,E4.1155.0,,Pieces,154,Mann,,20/09/2021,8,VAT 5%,5,,16,,
Oil filter EN5,Filters,,B004800610005,E4.1905.1,,Pieces,1,ELGI,,20/09/2021,3,VAT 5%,5,,6,,
Oil filter EN11,Filters,,B004800610004,E4.1911.1,,Pieces,1,ELGI,,20/09/2021,5,VAT 5%,5,,10,,
Oil separator E18TOE22,Filters,,0 10350060,E5.1822.0,,Pieces,2,ELGI,,20/09/2021,8,VAT 5%,5,,16,,
Oil separator EG15 TO EG22,Filters,,B0067007700010,E5.1522.2,,Pieces,1,ELGI,,20/09/2021,30,VAT 5%,5,,50,,
Belt High pressure,Belt,2319,,,,,1,TPB,,,,VAT 5%,,,,,
Belt TS 15,Belt,C 2088LP/C 80,905433,,,,4,TPB,,,,VAT 5%,,,,,
V-Belt B76 TS 07,,,905275,,,,,Oman,,,,VAT 5%,,,,,
V-Belt B78 TS 10,,,905277,,,,,Oman,,,,VAT 5%,,,,,
Belt,Belt,XPZ 1112,,,,,4,TPB,,,,VAT 5%,,,,,
Auto drain Float,Valve kits,,10442250,,,,9,IE,,,,VAT 5%,,,,,
Pressure switch ALFA,Pressure switch,,,,,,1,Alfa,,,,VAT 5%,,,,,
Pressure switch ,Pressure switch,,B00180051002,,,,1,Danfoss,,,,VAT 5%,,,,,
Pressure switch ,Pressure switch,1276,,,,,4,Indfos,,,,VAT 5%,,,,,
Intake valve kit E11 to E22,Valve kits,,01033120 9,,,,9,India,,,,VAT 5%,,,,,
Blow down valve kit E11 to E110,Valve kits,,220371089,,,,12,India,,,,VAT 5%,,,,,
