Item Name,Category Name,Duplicate part no,OEM part no,Item code,HSN,Unit Name,Alert Quantity,Brand Name,Lot Number,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sales Price,Opening Stock,Barcode
Minimum pressure valve kit E11 to E55,Valve kits,,220210529,,,,8,India,,,,VAT 5%,,,,,
Spider coupling G48( E11 &E37),Coupling,,12437520,,,,19,India,,,,VAT 5%,,,,,
Spider coupling GR 55(E55 & E75),Coupling,,12437610,,,,9,India,,,,VAT 5%,,,,,
"Pipe coupling 2 1/2""",Coupling,,B56XX05,,,,1,Oman,,,,VAT 5%,,,,,
"N.R.V assembly 1 1/2""",Safety valves,,,,,,1,India,,,,VAT 5%,,,,,
"N.R.V 1/8""(Return oil hose)",Safety valves,,B004100170001,,,,3,India,,,,VAT 5%,,,,,
N.R.V 1/4'',,,B4411701,,,,4,India,,,,VAT 5%,,,,,
Thermostiatic valve kit F 149,Valve kits,,B008706030003,,,,3,Tulasi,,,,VAT 5%,,,,,
Thermostiatic valve F 125,Valve kits,,22032292 0 ,,,,2,Tulasi,,,,VAT 5%,,,,,
Oil level indicator,Oil level indicator,,00 05 1344 0 ,,,,21,Tulasi,,,,VAT 5%,,,,,
DUV com solenoid valve,Valve kits,,02243225 0,,,,1,Tulasi,,,,VAT 5%,,,,,
Dryer controller,Controller,,,,,,5,Tulasi,,,,VAT 5%,,,,,
Intake valve seal kit,,,972300090.A,,,,,Oman,,,,VAT 5%,,,,,
BDV Seal kit,,,972300030.A,,,,,Oman,,,,VAT 5%,,,,,
Actuator assembly,Valve kits,,972300070,,,,1,ELGI,,,,VAT 5%,,,,,
"Valve assembly,breather",,,A 020030,,,,,Tulasi,,,,VAT 5%,,,,,
Valve breather,Valve kits,,00051006 0,,,,16,Tulasi,,,,VAT 5%,,,,,
Reverse Rotation switch,Safety valves,,8941151,,,,4,Tulasi,,,,VAT 5%,,,,,
Temperature sensar,sensars,,B000505600008,,,,2,Tulasi,,,,VAT 5%,,,,,
Pressure sensar,sensars,,B000505600007,,,,3,Tulasi,,,,VAT 5%,,,,,
Air filter,Filters,Reci,00031782 0,,,,51,Tulasi,,,,VAT 5%,,,,,
Disc valve assembly dia 100,Valve kits,,A 020569,,,,4,Tulasi,,,,VAT 5%,,,,,
Oil,Oil,,,,,,0,Oman,,,,VAT 5%,,,,,
Valve finger dia 100,Valve kits,,00033097 0,,,,0,Tulasi,,,,VAT 5%,,,,,
Valve finger dia 70,,,00033096 0,,,,0,Tulasi,,,,VAT 5%,,,,,
"Safety valve 1/2""",Safety valves,,,,,,8,Tulasi,,,,VAT 5%,,,,,
"Safety valve 3/4""",Safety valves,,A020245,,,,8,Tulasi,,,,VAT 5%,,,,,
"Safety valve 1""",Safety valves,,A010107,,,,0,Tulasi,,,,VAT 5%,,,,,
"Safety valve 1/4""",Safety valves,,B012806280008,,,,0,Tulasi,,,,VAT 5%,,,,,
Air filter,Filters,,10430150,,,,1,ELGI,,,,VAT 5%,,,,,
Air filter,Filters,C 25740,,,,,1,MANN,,,,VAT 5%,,,,,
Oil filter cartridge,Filters,,220220330,,,,7,ELGI,,,,VAT 5%,,,,,
Solinoid valve 24v AC,Valve kits,,B007300990017,,,,4,Rutex,,,,VAT 5%,,,,,
Solinoid valve 24v DC,Valve kits,,,,,,1,Rutex,,,,VAT 5%,,,,,
Piston dia 100,Pistons,,519220,,,,5,Tulasi,,,,VAT 5%,,,,,
Piston dia 70,Pistons,,477750,,,,2,Tulasi,,,,VAT 5%,,,,,
Piston rings 100mm,Pistons Rings,,22434139,,,,4,Tulasi,,,,VAT 5%,,,,,
Piston rings 70mm,Pistons Rings,,22401049,,,,2,Tulasi,,,,VAT 5%,,,,,
"Oil seal TS 10 , TS 15",Oil seal,,,,,,6,Tulasi,,,,VAT 5%,,,,,
Cool and filter,Filters,,23424922,,,,1,IR,,,,VAT 5%,,,,,
Temperature switch ,Pressure switch,,B171901,,,,1,Tulasi,,,,VAT 5%,,,,,
Pressure switch,Pressure switch,,A020018,,,,1,ELGI,,,,VAT 5%,,,,,
"PRE Filter 1 1/2""",Filters,,,,,,1,,,,,VAT 5%,,,,,
"Fine Filter 1 1/2""",Filters,,,,,,3,,,,,VAT 5%,,,,,
"After Filter 1 1/2""",Filters,,,,,,1,,,,,VAT 5%,,,,,
"N.R.V 1"" Assembly",Safety valves,,,,,,2,ELGI,,,,VAT 5%,,,,,
Air filter,Filters,A44462,,,,,1,Ecoguard,,,,VAT 5%,,,,,
Vacuum indicator,Vacuum indicator,,,,,,2,,,,,VAT 5%,,,,,
Coolant 4 liter,Oil,,,,,,2,,,,,VAT 5%,,,,,
Temperature switch ,Pressure switch,,,,,,1,,,,,VAT 5%,,,,,
"Oil level class 1 1/2""",Oil level indicator,,A010018,,,,1,Tulasi,,,,VAT 5%,,,,,
Oil separator E 11,Filters,LB719/2,,,,,2,,,,,VAT 5%,,,,,
Compressor below E 75,,,,,,,1,,,,,VAT 5%,,,,,
Bearing retainer,Airend paste,,,,,,7,,,,,VAT 5%,,,,,
Anabond 683,Airend paste,,,,,,1,,,,,VAT 5%,,,,,
Elgi TS15 pipe after coolpipe,Pipes,,,,,,2,,,,,VAT 5%,,,,,
TS 15 pipe,Pipes,,,,,,2,,,,,VAT 5%,,,,,
20 liters oil,Oil,,,,,,40,,,,,VAT 5%,,,,,
Air Compressor-columbia 10HP,Compressor,,,,,,2,,,,,VAT 5%,,,,,
